,accuracy,precision,recall,roc_auc
l2_logistic,0.6016763848396501,0.12276214833759591,0.6923076923076923,0.7111460355496239
l1_logistic,0.5932944606413995,0.12292358803986711,0.7115384615384616,0.7078852978645959
en_logistic,0.592930029154519,0.12282157676348547,0.7115384615384616,0.7078284245328803
l2_linsvc,0.6271865889212828,0.1292083712465878,0.6826923076923077,0.7119972397476341
l1_linsvc,0.5743440233236151,0.11904761904761904,0.7211538461538461,0.7033316397719
