,param_kernel,mean_test_score,rank_test_score,mean_fit_time
0,linear,0.2438141197497766,4,131.4036360581716
1,poly,0.3169660600650827,3,133.67772714296976
2,rbf,0.3684242984890533,2,121.5391788482666
3,laplacian,1.0,1,97.62932801246643
