,param_kernel,mean_test_score,rank_test_score,mean_fit_time
0,linear,0.23910698184494472,4,129.6178836027781
1,poly,0.5194389945205036,3,132.41419553756714
2,rbf,0.9970501474926253,2,123.42518377304077
3,laplacian,1.0,1,87.57131512959798
