,accuracy,precision,recall,roc_auc
l2_logistic,0.6020408163265306,0.12286689419795221,0.6923076923076923,0.7111441397718999
l2_linsvc,0.6239067055393586,0.12613430127041741,0.6682692307692307,0.7111649933268624
bagged_l2_logistic,0.6016763848396501,0.12340425531914893,0.6971153846153846,0.7111270777723853
bagged_l2_linsvc,0.6311953352769679,0.12915129151291513,0.6730769230769231,0.7121451104100947
rbf_svc,0.7397959183673469,0.14958448753462603,0.5192307692307693,0.7068388285610289
xgboost,0.7919096209912536,0.16074766355140188,0.41346153846153844,0.6819984530453773
random_forest,0.923469387755102,0.0,0.0,0.6850326452924047
