,accuracy,precision,recall,roc_auc
l2_logistic,0.717201166180758,0.15196078431372548,0.5961538461538461,0.7105261162339238
l2_linsvc,0.7591107871720116,0.16740088105726872,0.5480769230769231,0.7119631157486046
bagged_l2_logistic,0.7190233236151603,0.15289765721331688,0.5961538461538461,0.7104502851249697
bagged_l2_linsvc,0.76567055393586,0.1689497716894977,0.5336538461538461,0.7125887223974764
rbf_svc,0.7397959183673469,0.14958448753462603,0.5192307692307693,0.7068388285610289
xgboost,0.7919096209912536,0.16074766355140188,0.41346153846153844,0.6819984530453773
random_forest,0.7766034985422741,0.1652892561983471,0.4807692307692308,0.707290023659306
