,accuracy,precision,recall
AdaBoostClassifier,0.9037900874635568,0.15853658536585366,0.0625
GradientBoostingClassifier,0.922740524781341,0.0,0.0
XGBClassifier,0.7981049562682215,0.17110266159695817,0.4326923076923077
