,roc_auc_score
d_dimer_result,0.7207939502172843
crp_result,0.6470379317623645
age,0.6363295215056105
glucose_result,0.5786763252327807
plt_result,0.576555416693192
trig_result,0.564350978532921
ldl_result,0.5622786532063245
