,accuracy,precision,recall
AdaBoostClassifier,0.902332361516035,0.17391304347826086,0.07692307692307693
GradientBoostingClassifier,0.923469387755102,0.25,0.004807692307692308
XGBClassifier,0.7999271137026239,0.15831663326653306,0.3798076923076923
